"Drug Name","Dosage Form","USP Apparatus","Speed (RPMs)","Medium","Volume (mL)","Recommended Sampling Times (minutes)","Date Updated"
"Abacavir Sulfate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Abacavir Sulfate/Dolutegravir Sodium/Lamivudine","Tablet","II (Paddle)","85","0.01 M Phosphate Buffer with 0.5% sodium dodecyl sulfate (SDS), pH 6.8","900","Abacavir and lamivudine: 10, 15, 20, 30 and 45; Dolutegravir: 5,15, 25, 35 and 45.","05/28/2015"
"Abacavir Sulfate/Dolutegravir Sodium/Lamivudine","Tablet (For Suspension)","II (Paddle)","50","0.01 M Phosphate Buffer with 0.5 mM EDTA, pH 6.8","500","5, 10, 15, 30, 45 and 60","10/06/2023"
"Abacavir Sulfate/Lamivudine","Tablet","II (Paddle)","75","0.1 N HCl","900","10, 20, 30, and 45 ","01/03/2007"
"Abacavir Sulfate/Lamivudine/Zidovudine","Tablet","II (Paddle)","75","0.1 N HCl","Acid Stage: 900 mL; Buffer Stage: 1000 mL","5, 10, 15, 30 and 45","01/03/2007"
"Abemaciclib","Tablet","II (Paddle)","75","0.01 N HCl","900","5, 10, 15, 20 and 30","11/16/2017"
"Abiraterone Acetate","Tablet","II (Paddle)","50","0.25% SLS in 56.5 mM phosphate buffer, pH 4.5","900","10, 20, 30, 45 and 60 ","02/28/2013"
"Abrocitinib","Tablet","II (Paddle) with peak vessels","55","Citrate-phosphate buffer, pH 3.5","900","10, 20, 30 and 45","05/18/2023"
"Acalabrutinib","Capsule","II (Paddle)","50","0.1 N HCl","900","10, 15, 20 and 30","08/17/2023"
"Acalabrutinib Maleate","Tablet","II (Paddle)","75","5 Mm Phosphate buffer, pH 6.8","900","5, 10, 15, 20, 30, 45 and 60","11/01/2024"
"Acamprosate Calcium","Tablet (Delayed Release)","I (Basket)","180","Acid Stage: 0.1 N HCl  Buffer Stage: ""Citrate-sodium hydroxide"" buffer  pH 6.8 (150 ml of 2N NaOH, 21.014 gm of citric acid and ultra-pure water to 1000 ml) (Method B)","Media 1: 750 mL pH 1.1±0.1; Media 2: 950 mL pH 6.0±0.1; Media 3: 1000 mL pH 7.5±0.1","120 (Acid) 30, 60, 90, 120, and 180 (buffer)","12/20/2005"
"Acarbose","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Acarbose","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Acetaminophen","Suppository","II (Paddle)","50","Phosphate buffer, pH 5","900","15, 30, 45, 60 and 90","08/17/2006"
"Acetaminophen","Tablet (Extended Release) ","","","Refer to USP","","","03/03/2011"
"Acetaminophen/Aspirin/Caffeine","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Acetaminophen/Butalbital","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Acetaminophen/Butalbital/Caffeine","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Acetaminophen/Butalbital/Caffeine/Codeine Phosphate","Capsule "," ","","Develop a dissolution method","","","09/15/2023"
"Acetaminophen/Caffeine/Dihydrocodeine Bitartrate","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Acetaminophen/Caffeine/Dihydrocodeine Bitartrate","Capsule","","","Develop a dissolution method","","","09/15/2023"
"Acetaminophen/Hydrocodone Bitartrate","Tablet","","","Refer to USP (provide individual unit data).","","","08/15/2013"
"Acetaminophen/Ibuprofen","Tablet","II (Paddle)","50","50 mM Phosphate Buffer, pH 7.2","900","5, 10, 15, 20, and 30","02/09/2023"
"Acetaminophen/Oxycodone","Tablet","","","Refer to USP","","","01/14/2008"
"Acetaminophen/Oxycodone HCl","Tablet (Extended Release)","II (Paddle) with sinker","100","0.1 N HCl","900","0.25, 0.5, 1, 2, 4, 6 and 8 hours","11/19/2015"
"Acetaminophen/Pentazocine HCl","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Acetaminophen/Tramadol HCl","Tablet","II (Paddle)","50","0.1 N HCl","900","5, 10, 15, 20 and 30","03/04/2006"
"Acetaminophen; Butalbital","Capsule","","","Develop a dissolution method","","","02/05/2024"
